Series Code,Country Code,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013
SP.POP.TOTL,ERI,4665522,4854066,5035036,5209846,5382163,5557889,5741159,5932852,6130922,6333135
SP.POP.TOTL,EST,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1325016,1324612
SP.POP.TOTL,ETH,74066147,76167240,78290649,80440708,82621190,84838032,87095281,89393063,91728849,94100756
SP.POP.TOTL,FRO,48782,49157,49414,49554,49601,49600,49581,49551,49506,49469
SP.POP.TOTL,FJI,818995,822484,828060,835392,843851,852479,860559,867921,874742,881065
SP.POP.TOTL,FIN,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5439407
SP.POP.TOTL,FRA,62702121,63176246,63617975,64012572,64371099,64702921,65023142,65343588,65676758,66028467
SP.POP.TOTL,PYF,251811,254884,257731,260361,262877,265412,268065,270874,273814,276831
SP.POP.TOTL,GAB,1347125,1379465,1412907,1447388,1482843,1519155,1556222,1594034,1632572,1671711
SP.POP.TOTL,GMB,1391934,1436549,1482324,1529406,1577984,1628332,1680640,1734966,1791225,1849285
SP.POP.TOTL,GEO,4318300,4361400,4398000,4388400,4383800,4410900,4452800,4483350,4490700,4476900
SP.POP.TOTL,DEU,82516260,82469422,82376451,82266372,82110097,81902307,81776930,81797673,80425823,80621788
SP.POP.TOTL,GHA,20835514,21384034,21947779,22525659,23110139,23691533,24262901,24820706,25366462,25904598
SP.POP.TOTL,GRC,11055729,11092913,11127947,11163002,11186439,11187085,11153454,11123213,11092771,11032328
SP.POP.TOTL,GRL,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483
SP.POP.TOTL,GRD,102655,102951,103260,103586,103932,104296,104677,105074,105483,105897
SP.POP.TOTL,GUM,158194,158401,158429,158331,158310,158621,159440,160858,162810,165124
SP.POP.TOTL,GTM,12367800,12678919,12995374,13317931,13648307,13988988,14341576,14706578,15082831,15468203
SP.POP.TOTL,GIN,9379621,9576331,9798963,10046967,10314678,10593248,10876033,11161530,11451273,11745189
SP.POP.TOTL,GNB,1390791,1421515,1452659,1484337,1516920,1550905,1586624,1624228,1663558,1704255
